input_sha256,layer,layer_label,country,region,covered_capacity_mw,registered_capacity_mw,regional_coverage_pct,covered_source_records,registered_source_records
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Indiana,1162,1162,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Hebei,3880.5703,3880.5703,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Guangdong,2515.1844,2515.1844,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Jiangsu,1921.7505,1921.7505,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Guizhou,1648.6083,1648.6083,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Inner Mongolia,1638.8532,1638.8532,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Shanghai,0,1599.6161,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Zhejiang,1344.3582,1344.3582,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Beijing,1310.3238,1310.3238,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Shanxi,0,1302.574,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Shandong,1047.0451,1047.0451,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Hunan,0,713.0962,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Chongqing,0,685.4569,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Sichuan,0,685.4569,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Fujian,0,574.8993,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Henan,0,574.8993,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Hubei,0,445.2651,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Ningxia,0,419.5768,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Guangxi,0,385.3256,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Tianjin,0,363.9186,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Xinjiang,0,362.7263,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Gansu,0,351.508,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Jiangxi,0,340.2897,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Anhui,0,336.225,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Shaanxi,0,317.853,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Liaoning,0,291.6769,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Yunnan,0,278.9952,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Qinghai,0,205.6696,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Heilongjiang,0,172.0146,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Hainan,0,121.6133,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Jilin,0,121.6133,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,China,Tibet,0,118.0365,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,India,Maharashtra,0,911.9,0,0,2
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,India,Tamil Nadu,0,191.5,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,India,Delhi NCR,0,174.5,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,India,Karnataka,0,169.5,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,India,Telangana,0,151.4,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,India,West Bengal,0,23.1,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United Kingdom,London,1048,1048,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United Kingdom,Wales,154,154,100,1,1
